Date,Description,Merchant,Amount,Category
04-03-2026,ATM Fee 04 Mar,ATM Fee,23.0,Other
04-03-2026,Jio Recharge 04 Mar,Jio Recharge,563.0,Bills & Utilities
04-04-2026,Spotify 04 Apr,Spotify,142.0,Subscriptions
04-04-2026,Indian Oil 04 Apr,Indian Oil,1838.0,Transport
04-04-2026,Swiggy 04 Apr,Swiggy,376.0,Food & Dining
04-04-2026,Big Basket 04 Apr,Big Basket,1321.0,Groceries
04-04-2026,Local Grocer 04 Apr,Local Grocer,834.0,Groceries
04-04-2026,Amazon 04 Apr,Amazon,3091.0,Shopping
04-04-2026,Swiggy 04 Apr,Swiggy,186.0,Food & Dining
04-05-2026,Pizza Hut 04 May,Pizza Hut,764.0,Food & Dining
04-05-2026,Pizza Hut 04 May,Pizza Hut,509.0,Food & Dining
04-05-2026,Misc Expense 04 May,Misc Expense,227.0,Other
04-06-2026,Uber 04 Jun,Uber,473.0,Transport
04-06-2026,Google One 04 Jun,Google One,307.0,Subscriptions
04-06-2026,Dosa Plaza 04 Jun,Dosa Plaza,283.0,Food & Dining
04-06-2026,Zepto 04 Jun,Zepto,393.0,Groceries
04-06-2026,Local Store 04 Jun,Local Store,1599.0,Shopping
04-06-2026,Local Grocer 04 Jun,Local Grocer,594.0,Groceries
04-06-2026,Water Bill 04 Jun,Water Bill,691.0,Bills & Utilities
04-06-2026,Big Basket 04 Jun,Big Basket,887.0,Groceries
04-06-2026,Reliance Fresh 04 Jun,Reliance Fresh,2457.0,Groceries
05-01-2026,Uber Pool 05 Jan,Uber Pool,121.0,Transport
05-01-2026,DMart 05 Jan,DMart,1443.0,Groceries
05-01-2026,Swiggy 05 Jan,Swiggy,253.0,Food & Dining
05-01-2026,Subway 05 Jan,Subway,258.0,Food & Dining
05-01-2026,Mutual Fund 05 Jan,Mutual Fund,1044.0,Transfers
05-01-2026,iCloud 05 Jan,iCloud,299.0,Subscriptions
05-02-2026,Local Store 05 Feb,Local Store,1265.0,Shopping
05-02-2026,Pizza Hut 05 Feb,Pizza Hut,626.0,Food & Dining
05-02-2026,BookMyShow 05 Feb,BookMyShow,587.0,Entertainment
05-02-2026,Electricity Board 05 Feb,Electricity Board,1624.0,Bills & Utilities
05-02-2026,Myntra 05 Feb,Myntra,2894.0,Shopping
05-02-2026,Decathlon 05 Feb,Decathlon,2119.0,Shopping
05-02-2026,Amazon 05 Feb,Amazon,1464.0,Shopping
05-02-2026,Indian Oil 05 Feb,Indian Oil,1728.0,Transport
05-02-2026,Zepto 05 Feb,Zepto,911.0,Groceries
05-02-2026,Steam 05 Feb,Steam,2952.0,Entertainment
05-03-2026,Electricity Board 05 Mar,Electricity Board,2883.0,Bills & Utilities
05-03-2026,Local Cafe 05 Mar,Local Cafe,308.0,Food & Dining
05-03-2026,PlayStation Store 05 Mar,PlayStation Store,2855.0,Entertainment
05-03-2026,Credit Card Payment 05 Mar,Credit Card Payment,39612.0,Transfers
05-04-2026,Mutual Fund 05 Apr,Mutual Fund,1988.0,Transfers
05-04-2026,Zomato 05 Apr,Zomato,910.0,Food & Dining
05-04-2026,Rent Transfer 05 Apr,Rent Transfer,18552.0,Transfers
05-04-2026,Dosa Plaza 05 Apr,Dosa Plaza,261.0,Food & Dining
05-04-2026,Ola 05 Apr,Ola,388.0,Transport
05-04-2026,Apollo Pharmacy 05 Apr,Apollo Pharmacy,213.0,Healthcare
05-04-2026,YouTube Premium 05 Apr,YouTube Premium,140.0,Subscriptions
05-04-2026,McDonalds 05 Apr,McDonalds,451.0,Food & Dining
05-04-2026,Society Maintenance 05 Apr,Society Maintenance,2808.0,Bills & Utilities
05-05-2026,Zepto 05 May,Zepto,1143.0,Groceries
05-05-2026,Dominos 05 May,Dominos,328.0,Food & Dining
05-05-2026,Indian Oil 05 May,Indian Oil,1384.0,Transport
05-05-2026,Big Basket 05 May,Big Basket,683.0,Groceries
05-05-2026,Airtel Recharge 05 May,Airtel Recharge,472.0,Bills & Utilities
05-05-2026,Ola 05 May,Ola,292.0,Transport
05-05-2026,Rent Payment 05 May,Rent Payment,23936.0,Bills & Utilities
05-05-2026,Local Cafe 05 May,Local Cafe,150.0,Food & Dining
05-05-2026,Flipkart 05 May,Flipkart,1249.0,Shopping
05-05-2026,Random 05 May,Random,379.0,Other
05-06-2026,Uber 05 Jun,Uber,254.0,Transport
05-06-2026,Steam 05 Jun,Steam,2049.0,Entertainment
05-06-2026,Zomato 05 Jun,Zomato,383.0,Food & Dining
05-06-2026,Parking 05 Jun,Parking,47.0,Transport
06-01-2026,Local Grocer 06 Jan,Local Grocer,243.0,Groceries
06-01-2026,Reliance Fresh 06 Jan,Reliance Fresh,849.0,Groceries
06-01-2026,Zomato 06 Jan,Zomato,529.0,Food & Dining
06-01-2026,Zepto 06 Jan,Zepto,1021.0,Groceries
06-01-2026,Burger King 06 Jan,Burger King,251.0,Food & Dining
06-01-2026,McDonalds 06 Jan,McDonalds,462.0,Food & Dining
06-01-2026,Zomato Dining 06 Jan,Zomato Dining,647.0,Entertainment
06-01-2026,Zomato 06 Jan,Zomato,663.0,Food & Dining
06-01-2026,Subway 06 Jan,Subway,312.0,Food & Dining
06-02-2026,Local Grocer 06 Feb,Local Grocer,759.0,Groceries
06-02-2026,Flipkart 06 Feb,Flipkart,1514.0,Shopping
06-02-2026,Society Maintenance 06 Feb,Society Maintenance,1819.0,Bills & Utilities
06-02-2026,Decathlon 06 Feb,Decathlon,2280.0,Shopping
06-02-2026,Blinkit 06 Feb,Blinkit,644.0,Groceries
06-02-2026,Dominos 06 Feb,Dominos,377.0,Food & Dining
06-02-2026,Zomato 06 Feb,Zomato,479.0,Food & Dining
06-02-2026,Dominos 06 Feb,Dominos,467.0,Food & Dining
06-03-2026,Rapido 06 Mar,Rapido,95.0,Transport
06-03-2026,Rent Transfer 06 Mar,Rent Transfer,9048.0,Transfers
06-03-2026,Dosa Plaza 06 Mar,Dosa Plaza,150.0,Food & Dining
06-03-2026,Random 06 Mar,Random,487.0,Other
06-03-2026,Big Basket 06 Mar,Big Basket,648.0,Groceries
06-03-2026,DMart 06 Mar,DMart,2094.0,Groceries
06-03-2026,Dominos 06 Mar,Dominos,658.0,Food & Dining
06-04-2026,Reliance Fresh 06 Apr,Reliance Fresh,2406.0,Groceries
06-04-2026,Jio Recharge 06 Apr,Jio Recharge,870.0,Bills & Utilities
06-04-2026,Reliance Fresh 06 Apr,Reliance Fresh,971.0,Groceries
06-04-2026,Health Checkup 06 Apr,Health Checkup,3595.0,Healthcare
06-04-2026,Swiggy 06 Apr,Swiggy,592.0,Food & Dining
06-05-2026,IKEA 06 May,IKEA,6396.0,Shopping
06-05-2026,Swiggy 06 May,Swiggy,411.0,Food & Dining
06-05-2026,Local Cafe 06 May,Local Cafe,246.0,Food & Dining
06-06-2026,Subway 06 Jun,Subway,418.0,Food & Dining
06-06-2026,DMart 06 Jun,DMart,2537.0,Groceries
06-06-2026,Zepto 06 Jun,Zepto,1009.0,Groceries
06-06-2026,Random 06 Jun,Random,487.0,Other
06-06-2026,Swiggy 06 Jun,Swiggy,295.0,Food & Dining
06-06-2026,Google One 06 Jun,Google One,161.0,Subscriptions
06-06-2026,Local Store 06 Jun,Local Store,1453.0,Shopping
06-06-2026,Water Bill 06 Jun,Water Bill,940.0,Bills & Utilities
07-01-2026,Ola 07 Jan,Ola,144.0,Transport
07-01-2026,YouTube Premium 07 Jan,YouTube Premium,161.0,Subscriptions
07-01-2026,IKEA 07 Jan,IKEA,2671.0,Shopping
07-01-2026,Subway 07 Jan,Subway,279.0,Food & Dining
07-01-2026,Zomato 07 Jan,Zomato,538.0,Food & Dining
07-01-2026,Rent Transfer 07 Jan,Rent Transfer,21352.0,Transfers
07-01-2026,Electricity Board 07 Jan,Electricity Board,625.0,Bills & Utilities
07-01-2026,McDonalds 07 Jan,McDonalds,491.0,Food & Dining
07-01-2026,Subway 07 Jan,Subway,365.0,Food & Dining
07-01-2026,McDonalds 07 Jan,McDonalds,374.0,Food & Dining
07-02-2026,Local Grocer 07 Feb,Local Grocer,390.0,Groceries
07-02-2026,Pizza Hut 07 Feb,Pizza Hut,622.0,Food & Dining
07-02-2026,Random 07 Feb,Random,462.0,Other
07-02-2026,Dominos 07 Feb,Dominos,949.0,Food & Dining
07-02-2026,Google One 07 Feb,Google One,301.0,Subscriptions
07-02-2026,Myntra 07 Feb,Myntra,1993.0,Shopping
07-03-2026,Big Basket 07 Mar,Big Basket,1224.0,Groceries
07-03-2026,Big Basket 07 Mar,Big Basket,1157.0,Groceries
07-03-2026,Swiggy 07 Mar,Swiggy,758.0,Food & Dining
07-03-2026,Reliance Fresh 07 Mar,Reliance Fresh,2047.0,Groceries
07-03-2026,BookMyShow 07 Mar,BookMyShow,606.0,Entertainment
07-03-2026,Cash Withdrawal 07 Mar,Cash Withdrawal,2822.0,Other
07-03-2026,Reliance Fresh 07 Mar,Reliance Fresh,2413.0,Groceries
07-03-2026,Reliance Fresh 07 Mar,Reliance Fresh,2022.0,Groceries
07-03-2026,UPI to Friend 07 Mar,UPI to Friend,874.0,Transfers
07-03-2026,McDonalds 07 Mar,McDonalds,447.0,Food & Dining
07-03-2026,Blinkit 07 Mar,Blinkit,442.0,Groceries
07-04-2026,PlayStation Store 07 Apr,PlayStation Store,3543.0,Entertainment
07-04-2026,Zomato Dining 07 Apr,Zomato Dining,582.0,Entertainment
07-04-2026,Ola 07 Apr,Ola,263.0,Transport
07-04-2026,Rent Payment 07 Apr,Rent Payment,17605.0,Bills & Utilities
07-04-2026,Dosa Plaza 07 Apr,Dosa Plaza,122.0,Food & Dining
07-04-2026,UPI to Friend 07 Apr,UPI to Friend,2674.0,Transfers
07-04-2026,Local Grocer 07 Apr,Local Grocer,713.0,Groceries
07-04-2026,Mutual Fund 07 Apr,Mutual Fund,16440.0,Transfers
07-04-2026,IKEA 07 Apr,IKEA,5280.0,Shopping
07-05-2026,Electricity Board 07 May,Electricity Board,2049.0,Bills & Utilities
07-05-2026,Big Basket 07 May,Big Basket,1664.0,Groceries
07-05-2026,Dominos 07 May,Dominos,525.0,Food & Dining
07-05-2026,Local Grocer 07 May,Local Grocer,575.0,Groceries
07-05-2026,Pizza Hut 07 May,Pizza Hut,495.0,Food & Dining
07-05-2026,Swiggy 07 May,Swiggy,368.0,Food & Dining
07-05-2026,Credit Card Payment 07 May,Credit Card Payment,5534.0,Transfers
07-05-2026,Parking 07 May,Parking,99.0,Transport
07-05-2026,Dosa Plaza 07 May,Dosa Plaza,288.0,Food & Dining
07-05-2026,Blinkit 07 May,Blinkit,1112.0,Groceries
07-06-2026,Flipkart 07 Jun,Flipkart,811.0,Shopping
07-06-2026,Big Basket 07 Jun,Big Basket,1184.0,Groceries
07-06-2026,Subway 07 Jun,Subway,265.0,Food & Dining
07-06-2026,Amazon Prime 07 Jun,Amazon Prime,316.0,Subscriptions
07-06-2026,Dominos 07 Jun,Dominos,602.0,Food & Dining
07-06-2026,Burger King 07 Jun,Burger King,359.0,Food & Dining
07-06-2026,PlayStation Store 07 Jun,PlayStation Store,1681.0,Entertainment
07-06-2026,Nykaa 07 Jun,Nykaa,1842.0,Shopping
07-06-2026,Burger King 07 Jun,Burger King,755.0,Food & Dining
07-06-2026,McDonalds 07 Jun,McDonalds,709.0,Food & Dining
08-01-2026,Uber 08 Jan,Uber,137.0,Transport
08-01-2026,Dosa Plaza 08 Jan,Dosa Plaza,279.0,Food & Dining
08-01-2026,Pizza Hut 08 Jan,Pizza Hut,817.0,Food & Dining
08-01-2026,Misc Expense 08 Jan,Misc Expense,684.0,Other
08-01-2026,UPI to Friend 08 Jan,UPI to Friend,1412.0,Transfers
08-01-2026,Rent Transfer 08 Jan,Rent Transfer,10643.0,Transfers
08-01-2026,Local Grocer 08 Jan,Local Grocer,707.0,Groceries
08-02-2026,Swiggy 08 Feb,Swiggy,365.0,Food & Dining
08-02-2026,Dosa Plaza 08 Feb,Dosa Plaza,427.0,Food & Dining
08-02-2026,BookMyShow 08 Feb,BookMyShow,768.0,Entertainment
08-02-2026,Parking 08 Feb,Parking,94.0,Transport
08-02-2026,PlayStation Store 08 Feb,PlayStation Store,2070.0,Entertainment
08-02-2026,Jio Recharge 08 Feb,Jio Recharge,614.0,Bills & Utilities
08-02-2026,Subway 08 Feb,Subway,604.0,Food & Dining
08-02-2026,Pizza Hut 08 Feb,Pizza Hut,1230.0,Food & Dining
08-02-2026,Cash Withdrawal 08 Feb,Cash Withdrawal,4106.0,Other
08-02-2026,Zepto 08 Feb,Zepto,512.0,Groceries
08-02-2026,Local Cafe 08 Feb,Local Cafe,192.0,Food & Dining
08-02-2026,Big Basket 08 Feb,Big Basket,858.0,Groceries
08-02-2026,Pizza Hut 08 Feb,Pizza Hut,967.0,Food & Dining
08-02-2026,Rent Transfer 08 Feb,Rent Transfer,8486.0,Transfers
08-03-2026,Reliance Fresh 08 Mar,Reliance Fresh,1633.0,Groceries
08-03-2026,Zomato 08 Mar,Zomato,691.0,Food & Dining
08-03-2026,Blinkit 08 Mar,Blinkit,795.0,Groceries
08-03-2026,Dental Clinic 08 Mar,Dental Clinic,2915.0,Healthcare
08-03-2026,Zomato Dining 08 Mar,Zomato Dining,759.0,Entertainment
08-03-2026,Flipkart 08 Mar,Flipkart,2820.0,Shopping
08-04-2026,Nykaa 08 Apr,Nykaa,1916.0,Shopping
08-04-2026,McDonalds 08 Apr,McDonalds,453.0,Food & Dining
08-04-2026,Broadband Bill 08 Apr,Broadband Bill,1026.0,Bills & Utilities
08-04-2026,Big Basket 08 Apr,Big Basket,1336.0,Groceries
08-04-2026,Zepto 08 Apr,Zepto,1173.0,Groceries
08-04-2026,Reliance Fresh 08 Apr,Reliance Fresh,1965.0,Groceries
08-04-2026,Uber Pool 08 Apr,Uber Pool,95.0,Transport
08-04-2026,Ola 08 Apr,Ola,371.0,Transport
08-04-2026,Local Cafe 08 Apr,Local Cafe,323.0,Food & Dining
08-04-2026,Burger King 08 Apr,Burger King,391.0,Food & Dining
08-05-2026,Big Basket 08 May,Big Basket,1487.0,Groceries
08-05-2026,DMart 08 May,DMart,2645.0,Groceries
08-05-2026,IKEA 08 May,IKEA,3869.0,Shopping
08-05-2026,Zomato 08 May,Zomato,222.0,Food & Dining
08-05-2026,Practo 08 May,Practo,375.0,Healthcare
08-05-2026,Burger King 08 May,Burger King,480.0,Food & Dining
08-06-2026,DMart 08 Jun,DMart,2170.0,Groceries
08-06-2026,Ajio 08 Jun,Ajio,980.0,Shopping
08-06-2026,Rent Payment 08 Jun,Rent Payment,22344.0,Bills & Utilities
08-06-2026,Steam 08 Jun,Steam,1239.0,Entertainment
08-06-2026,Zomato 08 Jun,Zomato,693.0,Food & Dining
08-06-2026,Pizza Hut 08 Jun,Pizza Hut,706.0,Food & Dining
08-06-2026,Blinkit 08 Jun,Blinkit,994.0,Groceries
08-06-2026,Dominos 08 Jun,Dominos,620.0,Food & Dining
08-06-2026,Local Store 08 Jun,Local Store,949.0,Shopping
08-06-2026,Swiggy 08 Jun,Swiggy,231.0,Food & Dining
09-01-2026,Broadband Bill 09 Jan,Broadband Bill,1235.0,Bills & Utilities
09-01-2026,Dominos 09 Jan,Dominos,573.0,Food & Dining
09-01-2026,Rapido 09 Jan,Rapido,45.0,Transport
09-01-2026,UPI to Friend 09 Jan,UPI to Friend,1354.0,Transfers
09-01-2026,Subway 09 Jan,Subway,421.0,Food & Dining
